CD_MUNICIPIO;NM_MUNICIPIO;TOTAL_NOTIFICACOES;TOTAL_TESTES;NEGATIVO_RTPCR;NEGATIVO_TESTERAPIDO;NEGATIVO_OUTROS;POSITIVO_RTPCR;POSITIVO_TESTERAPIDO;POSITIVO_OUTROS
430005;"Água Santa";1502;1297;61;703;0;151;319;5
430045;Alegria;871;860;76;395;1;25;346;4
430057;"Alto Feliz";1207;1182;233;674;0;66;186;7
430080;"Antônio Prado";9173;8575;2201;3498;3;1160;1444;13
430100;"Arroio do Meio";11623;10290;2335;4117;16;1485;1327;230
430105;"Arroio do Sal";5673;4376;617;2509;22;364;730;10
430150;"Augusto Pestana";2591;2525;552;1058;0;403;331;3
430175;"Barão do Triunfo";2191;2050;468;1082;3;216;234;2
430195;"Barra Funda";2070;1929;542;741;6;285;263;23
430215;"Boa Vista das Missões";1185;983;370;343;2;130;74;11
430235;"Bom Princípio";6837;6684;792;3852;12;429;1452;28
430250;Bossoroca;1340;1306;233;571;1;112;275;15
430290;Cacequi;2252;2135;158;1151;3;124;488;28
430340;Caiçara;2682;2561;530;1454;0;117;365;89
430380;"Campinas do Sul";2593;2546;401;1231;2;134;446;107
430440;Canela;20130;19911;4357;8140;37;2633;2891;375
430465;"Capão do Cipó";1057;1009;263;487;1;121;108;4
430471;Caraá;2426;2339;443;990;2;372;391;5
430490;Casca;3775;3286;373;1360;21;309;749;126
430511;Centenário;797;782;236;290;1;44;176;5
430520;"Cerro Largo";5211;5055;377;2836;21;153;1216;182
430540;Chiapetta;1616;997;244;274;0;198;200;4
430560;Colorado;2263;2224;98;1513;1;38;503;5
430585;"Coqueiros do Sul";770;759;52;482;3;8;112;8
430597;Coxilha;1434;1182;426;407;2;168;131;8
430613;Cruzaltense;595;593;59;344;1;25;111;3
430635;"Dezesseis de Novembro";401;329;75;117;0;31;22;1
430660;"Dom Pedrito";15971;13494;1404;7586;5;1600;2277;20
430676;"Eldorado do Sul";21820;20064;4145;10069;48;2204;2571;37
430695;"Entre Rios do Sul";1042;952;266;455;0;95;107;7
430693;Entre-Ijuís;5394;4915;614;2679;10;469;918;14
430730;"Erval Seco";2108;2081;952;533;4;409;125;8
430755;Estação;3261;3095;306;1891;2;148;692;25
430783;"Eugênio de Castro";1166;1104;83;646;2;66;256;6
430807;"Fazenda Vilanova";1546;1374;260;668;1;166;219;13
430845;"Fortaleza dos Valos";2938;2338;114;1550;1;60;510;7
430880;"General Câmara";3462;3403;395;1916;201;217;367;116
430912;"Gramado dos Loureiros";810;780;442;93;0;172;27;2
430950;"Guarani das Missões";2271;2083;370;1147;3;167;279;10
430980;Ibiaçá;3292;2995;230;2011;2;118;524;17
431020;Ijuí;41028;33308;6887;12588;14;5616;5069;118
431040;Independência;1361;1351;108;684;0;37;485;5
431057;Itapuca;552;553;91;252;0;76;116;2
431070;"Itatiba do Sul";1112;1061;416;389;0;157;74;1
431090;Jacutinga;1696;1679;250;1059;0;80;253;2
431115;Jóia;3072;2685;420;1174;1;286;569;20
431125;Lagoão;1232;1219;247;368;2;261;246;9
431160;"Liberato Salzano";1492;1388;650;249;5;306;94;20
431173;Mampituba;532;521;32;41;2;76;305;16
431198;"Mariana Pimentel";1416;1329;430;567;1;165;46;4
431215;"Mato Leitão";2345;2272;591;814;1;327;455;6
431225;"Minas do Leão";2793;2306;188;1503;0;89;278;118
431235;Montauri;796;771;170;309;2;119;122;12
431244;"Morrinhos do Sul";1019;954;244;288;0;168;175;11
431261;"Muitos Capões";690;590;17;402;0;13;107;17
431275;"Nova Alvorada";1917;1881;408;757;0;270;335;12
431303;"Nova Esperança do Sul";3370;3320;591;1554;0;448;572;3
431330;"Nova Prata";15429;12294;1190;7198;6;672;1660;97
431339;"Novo Cabrais";1796;1729;536;638;1;292;214;13
431346;"Novo Xingu";395;384;122;57;0;76;103;0
431380;Palmitinho;3084;3002;753;1338;6;286;557;8
431405;Parobé;27337;25017;6697;9641;14;4963;2186;151
431413;"Paulo Bento";884;879;151;451;4;78;156;6
431440;Pelotas;157597;126973;22344;47903;2189;18077;11714;2029
431447;"Pinhal Grande";1234;1179;85;774;0;16;168;18
431470;Planalto;3287;2231;537;1001;2;226;397;9
431500;"Porto Lucena";851;823;28;424;0;13;329;15
431513;"Pouso Novo";573;569;208;197;0;94;60;3
431530;Quaraí;7099;6965;336;4236;24;103;1914;13
431535;"Quinze de Novembro";2133;1998;123;1257;0;39;520;18
431545;Relvado;657;631;67;395;0;47;112;1
431580;"Roca Sales";2405;2183;305;693;3;544;404;40
431620;Rondinha;2318;2294;493;974;3;195;483;39
431643;"Saldanha Marinho";1317;1270;86;801;7;42;308;3
431670;"Santa Bárbara do Sul";3849;3680;240;2107;7;112;1028;31
431720;"Santa Rosa";49610;47938;7350;25873;90;3402;9645;189
431740;Santiago;26371;21607;3589;10328;28;1967;4104;83
431755;"Santo Antônio do Palma";506;448;35;213;2;100;57;5
431800;"São Borja";28894;28723;7231;11374;6;3168;6088;257
431843;"São João do Polêsine";1137;952;310;274;2;170;114;96
431849;"São José do Inhacorá";869;772;96;233;0;39;387;19
431890;"São Luiz Gonzaga";13411;13139;2014;6176;42;1056;2561;167
431920;"São Nicolau";832;373;97;190;0;39;7;4
431940;"São Pedro do Sul";5460;5134;378;2277;148;286;1230;28
431973;"São Valério do Sul";566;510;157;207;0;74;43;2
432020;Seberi;6234;5633;1881;1409;93;748;1221;83
432035;"Sentinela do Sul";1238;1178;395;269;2;312;151;7
432057;"Sete de Setembro";493;465;143;198;3;63;34;3
432085;Tabaí;1875;1677;322;766;2;184;334;19
432130;Taquari;13103;10045;1483;4699;12;1556;1568;106
432143;"Terra de Areia";2849;1881;238;755;6;150;236;20
432150;Torres;17973;17828;5253;5508;413;2771;2593;354
432166;"Três Cachoeiras";3557;3238;698;1208;23;357;721;22
432195;"Trindade do Sul";3050;2796;1156;777;9;467;296;19
432220;Tupanciretã;11776;10759;2377;4990;14;992;1462;30
432237;Unistalda;734;679;37;441;0;19;127;0
432254;"Vale Real";2661;2352;155;1498;4;111;526;14
432285;"Vespasiano Correa";807;801;61;455;1;50;202;9
432320;"Victor Graeff";1889;1870;104;1302;0;30;327;15
432345;"Vila Nova do Sul";865;836;267;198;0;58;120;10
432375;"Vitória das Missões";1016;1027;180;476;3;118;211;6
430260;Braga;1102;813;297;118;2;303;45;9
430400;"Campo Novo";1550;1440;220;551;4;199;416;14
430865;Garruchos;1077;1070;439;450;0;46;78;4
430970;Humaitá;1121;1108;39;746;5;11;218;8
431046;"Ipiranga do Sul";634;618;12;422;0;9;116;1
431490;"Porto Alegre";614828;563224;249370;123934;683;115452;19085;928
431555;"Rio dos Índios";909;820;101;397;0;63;180;18
431990;Sapiranga;50792;38664;9819;13982;123;7036;4828;184
432110;Tapes;4513;3587;1113;741;262;617;35;123
431460;Piratini;4722;4498;1048;2267;33;340;584;15
430825;"Floriano Peixoto";570;560;140;236;0;64;100;2
431697;"Santa Margarida do Sul";323;311;37;98;1;68;79;7
430350;Camaquã;24110;22357;3350;11428;27;2568;4117;71
430655;"Dom Pedro de Alcântara";855;829;85;363;5;45;245;34
431280;"Nova Araçá";4095;3750;418;2115;1;246;796;25
430915;"Gramado Xavier";1240;1220;431;384;1;212;145;2
430430;"Cândido Godói";2361;2110;80;1312;1;28;647;12
430435;Candiota;3795;3785;1662;898;0;562;565;20
430450;Canguçu;14935;14598;3186;6552;13;1478;2533;39
430460;Canoas;176470;139998;48900;41216;165;28562;10784;950
430461;"Canudos do Vale";408;332;60;116;0;45;64;2
430463;"Capão da Canoa";32570;22477;1888;10332;86;3459;3959;435
430466;"Capão do Leão";8095;7627;1447;3751;93;819;403;13
430467;"Capivari do Sul";3132;2303;261;822;40;155;467;166
430468;"Capela de Santana";5359;3484;768;1329;2;793;380;3
430469;Capitão;1663;1380;49;845;1;72;332;16
430470;Carazinho;34061;32985;4863;17378;11;3499;6005;171
430480;"Carlos Barbosa";16940;16326;4130;7455;20;1624;2347;72
430485;"Carlos Gomes";809;790;97;510;0;15;140;5
